gvkey,datadate,iid,tic,cusip,conm,tpci,cik
014750,31/1/05,01,NPI,67062T100,NUVEEN PREM INCOME MUN FD,7,0000833251
014751,31/1/05,01,OMS,683933105,OPPENHEIMER MULTI-SECTOR,7,0000829801
014752,31/1/05,01,PAI,95766T100,WESTERN ASST INV GRD INCM FD,7,0000075398
014753,31/1/05,01,PEO,00548F105,ADAMS NATURAL RESOURCES FUND,7,0000216851
014757,31/1/05,01,PCF,42968F108,HIGH INCOME SECURITIES FUND,7,0000810943
014759,31/1/05,01,PMT.2,74683K104,PUTNAM MASTER INCOME TR,7,0000824463
014760,31/1/05,01,PIM,746909100,PUTNAM MASTER INTERM INCOME,7,0000830622
014763,31/1/05,01,RVT,780910105,ROYCE SMALL CAP TRUST INC,7,0000804116
014765,31/1/05,01,SAF.1,811183102,SCUDDER NEW ASIA FUND INC,7,0000798738
014767,31/1/05,01,SNF,45082X103,IBERO-AMERICA FUND INC,7,0000818105
014768,31/1/05,01,ALM.2,019921105,ALLMERICA SECS TR,7,0000093730
014769,31/1/05,01,TSI,872340104,TCW STRATEGIC INCOME FUND,7,0000809559
014770,31/1/05,01,SABA,880198205,SABA CAPITAL IN & OP FUND II,7,0000828803
014771,31/1/05,01,TTF,882904105,THAI FUND INC,7,0000822794
014772,31/1/05,01,TAI.1,893506105,TRANSAMERICA INCOME SHARES,7,0000099197
014774,31/1/05,01,VES.,925464109,VESTAUR SECURITIES FUND,7,0000103361
014776,31/1/05,01,ZIF,957669104,WESTERN ASST ZENIX INCOME FD,7,0000830142
014777,31/1/05,01,ZF.1,989834205,ZWEIG FUND INC,7,0000812090
014779,31/1/05,01,LEO,05588W108,BNY MELLON STRATEGIC MUNS IN,7,0000818972
014783,31/1/05,01,CPF.2,205763105,COMSTOCK PTNRS STRATEGY,7,0000830779
014787,31/1/05,01,BHODQ,V10064109,B&H OCEAN CARRIERS LTD,0,0000835540
014790,31/1/05,01,MTH,59001A102,MERITAGE HOMES CORP,0,0000833079
014791,31/1/05,01,CRO.4,22876P109,CRT PROPERTIES INC,0,0000835664
014793,31/1/05,01,ACIIQ,039380308,ARCH RESOURCES INC,0,0001037676
014794,31/1/05,01,CMT,218683100,CORE MOLDING TECHNOLOGIES,0,0001026655
014796,31/1/05,01,TISM,872527106,TIS MORTGAGE INVESTMENT,0,0000833088
014797,31/1/05,01,CIM.1,125527101,CIM HIGH YIELD SECURITIES,7,0000821466
014802,31/1/05,02,NAU.1,632525309,NATIONAL AUSTRALIA BK,1,0000833029
014804,31/1/05,01,PPT,746853100,PUTNAM PREMIER INCOME TR,7,0000827773
014808,31/1/05,01,LENS.1,206156200,CONCORD CAMERA CORP,0,0000831861
014810,31/1/05,01,VSTH.,92847T209,VITALSTREAM HOLDINGS INC,0,0000789851
014815,31/1/05,01,GLRP,377834106,GLEN ROSE PETROLEUM CORP,0,0000354567
014816,31/1/05,01,UTRX,913287108,UNITRONIX CORP,0,0000835270
014820,31/1/05,01,PLFE,740884101,PRESIDENTIAL LIFE CORP,0,0000080124
014822,31/1/05,01,WRB,084423102,BERKLEY (W R) CORP,0,0000011544
014824,31/1/05,01,CINF,172062101,CINCINNATI FINANCIAL CORP,0,0000020286
014827,31/1/05,01,OCAS,677240103,OHIO CASUALTY CORP,0,0000073952
014828,31/1/05,01,ORI,680223104,OLD REPUBLIC INTL CORP,0,0000074260
014830,31/1/05,01,TW.1,90130N103,21ST CENTURY INS GROUP,0,0000100331
014834,31/1/05,01,IEIB,459436507,INTL ELECTRONICS INC,0,0000717751
014835,31/1/05,01,3KDCR,494521305,KINDERCARE LEARNING CENTERS,0,0000832812
014836,31/1/05,01,ATISZ,00755F103,ADVANCED TISSUE SCI  -CL A,0,0000829549
014852,31/1/05,01,BRSI,058659103,BALLISTIC RECOVERY SYSTEMS,0,0000801907
014853,31/1/05,02,CTHZ,137389300,CANCER TREATMENT HOLDINGS,0,0000832092
014855,31/1/05,02,GEXA,374398204,GEXA CORP,0,0000821113
014863,31/1/05,01,GLYT,372302109,GENLYTE GROUP INC,0,0000833076
014870,31/1/05,01,AURRF,051524106,AUR RESOURCES INC,0,0001047379
014874,31/1/05,01,LEOM,526362108,LEO MOTORS INC,0,0001356564
014883,31/1/05,01,HOMZQ,437305105,HOME PRODUCTS INTL INC,0,0000814457
014886,31/1/05,01,GLOV.1,001303106,AHPC HOLDINGS INC,0,0000837038
014888,31/1/05,01,8578B,040453102,ARIX CORP,0,0000838445
014891,31/1/05,01,MGPI,55303J106,MGP INGREDIENTS INC,0,0000835011
014892,31/1/05,01,NTRK,640654109,NEOTERIK HEALTH TECH INC,0,0000838790
014894,31/1/05,90,VOD,92857W308,VODAFONE GROUP PUBLIC LTD,F,0000839923
014895,31/1/05,01,MSEL,589849306,MERISEL INC,0,0000724941
014897,31/1/05,01,EYE.1,92844S105,VISX INC/DE,0,0000837991
014898,31/1/05,01,DDD,88554D205,3D SYSTEMS CORP,0,0000910638
014908,31/1/05,01,PDE,74153Q102,PRIDE INTERNATIONAL INC,0,0000833081
014913,31/1/05,01,AURAQ,051526101,AURA SYSTEMS INC,0,0000826253
014917,31/1/05,01,MMRX,58501B107,MEDNET MPC CORP,0,0000832485
014918,31/1/05,01,NOVN.1,670009109,NOVEN PHARMACEUTICALS INC,0,0000815838
014920,31/1/05,01,3TRPCE,897069209,TROPIC AIR CARGO INC,0,0000791027
014922,31/1/05,01,3CEXYE,151007101,CELEREX CORP,0,0000795711
014924,31/1/05,02,NTPIF,G63907102,NAM TAI PROPERTY INC,0,0000829365
014926,31/1/05,01,MPHD,58441D106,RICH COAST INC,0,0000814186
014934,31/1/05,01,DVN,25179M103,DEVON ENERGY CORP,0,0001090012
014936,31/1/05,01,GITA,376365102,GITANO GROUP INC,0,0000837912
014938,31/1/05,01,LOGC.1,541402103,LOGIC DEVICES INC,0,0000802851
014942,31/1/05,01,CLGZF,G4673W100,HUTECH21 CO LTD,0,
014943,31/1/05,03,3WESCE,936787308,WASATCH EDUCATION SYS,0,0000837987
014953,31/1/05,01,AHLHQ,004380101,ACCUHEALTH INC,0,0000840401
014954,31/1/05,01,LNN,535555106,LINDSAY CORP,0,0000836157
014957,31/1/05,01,AFTM,00831X102,AFTERMASTER INC,0,0000836809
014960,31/1/05,01,LH,504922105,LABCORP HOLDINGS INC,0,0000920148
014968,31/1/05,01,DCG,261881106,DREYFUS CAL MUNI INCOME,7,0000839123
014969,31/1/05,01,DMF,05589T104,BNY MELLON MUNICIPAL INCOME,7,0000839122
014970,31/1/05,01,DNM,26201T108,DREYFUS N Y MUNI INCOME,7,0000839124
014971,31/1/05,01,MVF,09253R105,BLACKROCK MUNIVEST FUND INC,7,0000835948
014974,31/1/05,01,PHF,693742108,PACHOLDER HIGH YIELD FD INC,7,0000837951
014975,31/1/05,01,VKC,920910106,VAN KAMPEN CALIF MUN TR,7,0000840248
014977,31/1/05,90,CM.2,193870409,COLES GROUP LTD - OLD,F,0000825777
014982,31/1/05,02,GSHR.1,393391107,INCOMED CORP,0,0001421712
014983,31/1/05,02,CSBR,15870P307,CHAMPIONS ONCOLOGY INC,0,0000771856
014984,31/1/05,02,GTGO,G38529106,GETGO INC -OLD,0,0000835538
014985,31/1/05,01,VASO,92233F102,VASO CORP,0,0000839087
014986,31/1/05,02,AMXI,031674203,AMNEX INC,0,0000793526
014989,31/1/05,02,EMBR.1,290816107,EMBRACE SYSTEMS CORP,0,0000764218
014990,31/1/05,01,KLOC,501337406,KUSHNER LOCKE CO,0,0000842009
014991,31/1/05,01,PRPEF.,739651107,PRAIRIE PACIFIC ENERGY CORP,0,0000786283
014992,31/1/05,01,TAGI,880910104,TERMINAL APPLICATIONS GROUP,0,0000841075
014995,31/1/05,01,STEW,101507101,SRH TOTAL RETURN FUND INC,7,0000102426
014996,31/1/05,01,3MOSH,590650107,MESA OFFSHORE TRUST,0,0000711303
014999,31/1/05,03,ACAVF,00440P409,ACE AVIATION HOLDINGS INC,0,0001295721
015000,31/1/05,01C,ADW.A,03444Q100,ANDREW PELLER LTD,0,
015005,31/1/05,01,GEAC.,368289104,GEAC COMPUTER CORP LTD,0,0001145047
015007,31/1/05,01C,GLN.,378913107,GLENTEL INC,0,
015014,31/1/05,01C,MHR.,580650109,MCGRAW-HILL RYERSON LTD,0,
015015,31/1/05,04C,PNG.2,694661307,PACIFIC NORTHERN GAS LTD,0,
015016,31/1/05,01C,ZYUS.,989960109,ZYUS LIFE SCIENCES CORP,0,0001757610
015020,31/1/05,01C,TIH.,891102105,TOROMONT INDUSTRIES LTD,0,0001476708
015022,31/1/05,01,CGRIF,135825107,CANADIAN GENERAL INVESTMENTS,7,
015024,31/1/05,01C,UNC.,910144203,UNITED CORPORATIONS LTD,7,
015025,31/1/05,01,GSLM,384906202,GRAND CENTRAL SILVER MINES,0,0000836123
015027,31/1/05,01,TORM,890878309,TOR MINERALS INTL INC,0,0000842295
015028,31/1/05,01,OPMC,68388V100,OPTIMUMCARE CORP,0,0000820474
015030,31/1/05,02C,CXA.H,20999T206,CONSOLIDATED HCI HOLDIN -OLD,0,0001800999
015037,31/1/05,01,GG,380956409,GOLDCORP INC,0,0000919239
015038,31/1/05,01C,IFP.,45868C109,INTERFOR CORP,0,0002074067
015042,31/1/05,01C,PKI.,70137W108,PARKLAND CORP,0,0002071897
015046,31/1/05,01C,COC.,132626102,CAMCO INC,0,0000016615
015050,31/1/05,01C,HRX.,42774L109,HEROUX-DEVTEK INC,0,
015055,31/1/05,01,CNQ,136385101,CANADIAN NATURAL RESOURCES,0,0001017413
015059,31/1/05,01C,MRD.,585467103,MELCOR DEVELOPMENT LTD,0,
015060,31/1/05,01,CPE,13123X508,CALLON PETROLEUM CO/DE,0,0000928022
015070,31/1/05,01,SU,867224107,SUNCOR ENERGY INC,0,0000311337
015082,31/1/05,01C,SEC.,81731L109,SENVEST CAPITAL INC,0,
015083,31/1/05,01C,TCL.B,893578203,TRANSCONTINENTAL INC -CL A,0,
015084,31/1/05,01,BR.2,122014103,BURLINGTON RESOURCES INC,0,0000833320
015085,31/1/05,01,CBLMQ,124831108,CBL MEDICAL INC,0,0000832440
015086,31/1/05,01,CCBEF,184901304,CLEARLY CDN BEVERAGE CORP,0,0000808464
015087,31/1/05,01,LWAY,531914109,LIFEWAY FOODS INC,0,0000814586
015088,31/1/05,01C,ACM.A,046346201,ASTRAL MEDIA INC  -CL A,0,
015089,31/1/05,01,MLKIQ,576901102,MATLACK SYSTEMS INC,0,0000837339
015092,31/1/05,01,CEC,125137109,CEC ENTERTAINMENT INC,0,0000813920
015096,31/1/05,01C,WFC.,931902100,WALL FINANCIAL CORP,0,
015098,31/1/05,01C,BEK.B,075653204,BECKER MILK CO LTD  -CL B,0,
015101,31/1/05,01,MFA,55272X607,MFA FINANCIAL INC,0,0001055160
015103,31/1/05,90,CGA.1,22087M101,CORUS GROUP PLC,F,0000842021
015106,31/1/05,01,BEC,075811109,BECKMAN COULTER INC,0,0000840467
015110,31/1/05,01,LYO,552078107,LYONDELL CHEMICAL CO,0,0000842635
015111,31/1/05,01,RPT.1,74971D101,RPT REALTY,0,0000842183
015114,31/1/05,01C,BUD.1,886295104,THYSSENKRUPP BUDD CDA INC,0,
015123,31/1/05,01,TRZ,89687P107,TRIZEC PROPERTIES INC,0,0001161935
015125,31/1/05,01,CFCC,218700102,CORFACTS INC,0,0000791298
015129,31/1/05,01,LKAI,501882104,LKA GOLD INC,0,0000831355
015131,31/1/05,01,3BRAUE,703836106,PAVICHEVICH BREWING,0,0000818786
015132,31/1/05,01,SSCO,867925109,SUNSTYLE CORP,0,0000839219
015135,31/1/05,01,GTNOQ,37939M109,GLOBAL TECHNOVATIONS INC,0,0000800055
015140,31/1/05,02,AMTO,00766P108,OHARA RESOURCES LTD/NEV,0,0000830821
015142,31/1/05,01,STAR,45031U101,ISTAR INC,0,
015143,31/1/05,01,BKT,09247F209,BLACKROCK INCOME TRUST INC,7,0000832327
015150,31/1/05,01,PCZ,71644E102,PETRO-CANADA,0,0000795615
015153,31/1/05,01,AGM.A,313148108,FEDERAL AGRICULTURE MTG CP,0,0000845877
015159,31/1/05,02,3SKYT,83087K107,SKYTERRA COMMUNICATIONS INC,0,
015160,31/1/05,01,GGNS,372461103,GENUS INC,0,0000837913
015162,31/1/05,01,STFA,86279E201,STRATFORD AMERICAN CORP,0,0000836435
015172,31/1/05,90,FIATY,315621888,FIAT CHRYSLER AUTOMOBILES NV,F,
015173,31/1/05,04,AWGI.2,014383103,ALDERWOODS GROUP INC,0,0000927914
015174,31/1/05,01,SMLE.1,816618300,SEMELE GROUP INC,0,0000812914
015178,31/1/05,02,VODG,928501303,VITRO BIOPHARMA INC,0,0000793171
015181,31/1/05,90,BBVA,05946K101,BANCO BILBAO VIZCAYA ARGENTA,F,0000842180
015185,31/1/05,01,PSWW.1,74199J930,KUPPER PARKER COMMUNICATIONS,0,
015190,31/1/05,01,COMT.1,19999Z931,COMAMTECH INC -OLD,0,0000839435
015197,31/1/05,01,CHFC,163731102,CHEMICAL FINANCIAL CORP,0,0000814184
015199,31/1/05,01,SRCE,336901103,1ST SOURCE CORP,0,0000034782
015202,31/1/05,01,NFB,659424105,NORTH FORK BANCORPORATION,0,0000352510
015206,31/1/05,01,CHUR,171569205,CHURCHILL TECHNOLOGY INC,0,0000721233
015208,31/1/05,01,FMCC,313400301,FEDERAL HOME LOAN MORTG CORP,0,0001026214
015210,31/1/05,01,ZTR,92835W107,VIRTUS TOTAL RETURN FUND INC,7,0000836412
015219,31/1/05,01,3ZENOE,989425103,ZENOX INC,0,0000779676
015220,31/1/05,01,VSTI,925313108,VERSUS TECHNOLOGY INC,0,0000842638
015226,31/1/05,01,KTF,233368109,DWS MUNICIPAL INCOME TRUST,7,0000839533
015237,31/1/05,01,HIS,09250E107,BLACKROCK HIGH INCOME SHARES,7,0000830474
015240,31/1/05,02,WWR,961684206,WESTWATER RESOURCES INC,0,0000839470
015242,31/1/05,02,PWEI,69366Y108,PW EAGLE INC,0,0000852426
015244,31/1/05,02,NXSO,670155209,NOXSO CORP,0,0000314307
015247,31/1/05,01,VLO,91913Y100,VALERO ENERGY CORP,0,0001035002
015253,31/1/05,02,CKXE,12562M106,CKX INC,0,0000793044
015254,31/1/05,01,AGRS,00854C100,AGRISTAR INC,0,0000842888
015261,31/1/05,01,DRLCQ,25811P852,DORAL FINANCIAL CORP,0,0000840889
015265,31/1/05,01,HMLD,43739T104,HOMELAND HOLDING CORP,0,0000835582
015267,31/1/05,01,IEX,45167R104,IDEX CORP,0,0000832101
015274,31/1/05,01,WLTGQ,93317Q105,WALTER ENERGY INC,0,0000837173
015283,31/1/05,01,EPLN,294276100,EPOLIN INC,0,0000797079
015284,31/1/05,01,3CSPNE,147621106,CASPEN OIL INC,0,0000095254
015290,31/1/05,01,AH.Z,042260109,ARMOR HOLDINGS INC,0,0000845752
015291,31/1/05,01,HNR,41754V202,HARVEST NATURAL RESOURCES,0,0000845289
015292,31/1/05,01,OPIX,676121106,ODYSSEY PICTURES CORP,0,0000863061
015293,31/1/05,01,FSII.1,302633102,FSI INTL INC,0,0000841692
015298,31/1/05,01,DAKM,23423G105,DAKOTA MINING CORP,0,0000848448
015299,31/1/05,01,3DLNKQ,243454105,DECISIONLINK INC,0,0000811014
015319,31/1/05,90,REPYY,76026T205,REPSOL SA,F,0000901576
015320,31/1/05,01,LPRO.1,52465P103,LEGEND PROPERTIES INC,0,0000822829
015321,31/1/05,90,ELEYY,29258N107,ENDESA SA,F,0001046649
015327,31/1/05,01,BNSOF,098529308,BONSO ELECTRONICS INTL INC,0,0000846546
015329,31/1/05,01,CAIRE,208286500,CONQUEST INDUSTRIES INC,0,0000810328
015331,31/1/05,01,BTUI,056032105,BTU INTERNATIONAL INC,0,0000840883
015333,31/1/05,01,EUAM,298707100,EUROAMERICAN GROUP INC,0,
015334,31/1/05,90,AKZOY,010199503,AKZO NOBEL NV,F,0000003124
015337,31/1/05,01,EMMS,291525400,EMMIS CORP,0,0000783005
015338,31/1/05,01,GRNA.,39276R105,INTERNATIONAL PRECIOUS METLS,0,0000818029
015343,31/1/05,01,MLI,624756102,MUELLER INDUSTRIES,0,0000089439
015347,31/1/05,01,PRST.1,741113104,PRESSTEK INC,0,0000846876
015350,31/1/05,01,BPPTU,055630107,BP PRUDHOE BAY ROYALTY TRUST,0,0000850033
015352,31/1/05,01,SEMCQ,81662E108,SEMI-TECH CORP  -CL A,0,0000909751
015354,31/1/05,01,ETS.1,293637401,ENTERASYS NETWORKS INC,0,0000846909
015356,31/1/05,01C,NCC.A,651900102,NEWFOUNDLAND CAP CORP  -CL A,0,
015358,31/1/05,01,3LEAKE,521784306,LEAK-X ENVIRONMENTAL,0,0000842697
015359,31/1/05,01,ABIX,002564102,ABATIX CORP,0,0000845779
015360,31/1/05,01,3HTHEQ,44183S105,HOUSE2HOME INC,0,0000850316
015362,31/1/05,90,WBK,961214301,WESTPAC BANKING CORP,F,0000719245
015363,31/1/05,01,TCF,872307103,TCF FINANCIAL CORP,0,0000019612
015364,31/1/05,01,ARGO,G0464B107,ARGO GROUP INTL HOLDINGS LTD,0,0001091748
015365,31/1/05,01,AOF.1,000918102,ACM GVT OPPORTUNITY FD,7,0000834933
015366,31/1/05,01,AMF,000919100,ACM MANAGED INCOME FUND,7,0000838133
015367,31/1/05,01,OIA,46132X101,INVESCO MUNICIPAL INCOME OPP,7,0000835333
015368,31/1/05,01,PIA,46133E102,INVESCO MUNICIPAL PREM INCM,7,0000842891
015372,31/1/05,01,CXE,59318D104,MFS HIGH INCOME MUNI TRUST,7,0000845606
015373,31/1/05,01,CIF,59318T109,MFS INTERMEDIATE HIGH INCOME,7,0000833021
015374,31/1/05,01,CXH,59318B108,MFS INVESTMENT GRADE MUNI TR,7,0000847411
015377,31/1/05,01,FT,355145103,FRANKLIN UNIVERSAL TRUST,7,0000833040
015380,31/1/05,01,KMM,25160E102,DEUTSCHE MULTI-MARKET INCOME,7,0000842905
015381,31/1/05,01,KSM,23342Q101,DWS STRATEGIC MUN INCM TRUST,7,0000846596
015383,31/1/05,01,MCX.1,55267Q104,MC SHIPPING,0,0000847831
015384,31/1/05,01,MPV,06761A103,BARINGS PARTICIPATON INVSTRS,7,0000831655
015385,31/1/05,01,MHF,95766N103,WESTERN ASST MUNI HI INCM FD,7,0000830487
015386,31/1/05,01,MEN,09253Y100,BLACKROCK MUNIENHANCED FUND,7,0000844172
015388,31/1/05,01,PDF,41013Q101,HANCOCK J PATRIOT PREM DIV,7,0000868549
015389,31/1/05,01,PHY,743586406,PROSPECT STREET HI INCOME,7,0000832904
015390,31/1/05,01,PYM,746781103,PUTNAM HI YIELD MUNI,7,0000848077
015391,31/1/05,01,PMM,746823103,PUTNAM MANAGED MUNI INCOME,7,0000844790
015392,31/1/05,01,JMM,67075J107,NUVEEN MULTI-MKT INCM FD,7,0000838131
015393,31/1/05,01,TFC.2,823014105,SHELTON GREATER CHINA FUND,7,0000836267
015397,31/1/05,01,VIT.1,920911104,VAN KAMPEN HIGH INCOME TR,7,0000843506
015398,31/1/05,01,VLT,46131F101,INVESCO HIGH INCOME TRUST II,7,0000846671
015399,31/1/05,01C,PVF.UN,G6936M100,PARTNERS VALUE INVMNTS LP,0,0001162777
015404,31/1/05,01,ESWB.1,29699M932,ESIO WATER AND BEVERAGE-OLD,0,
015406,31/1/05,90,BNGPY,081795403,BENETTON GROUP SPA,F,0000849314
015409,31/1/05,02,PGRA.1,72799Y935,PLANGRAPHICS INC  -OLD,0,
015410,31/1/05,01,XMSP,98416P106,XSTREAM MOBILE SOLUTIONS CP,0,0000842919
015411,31/1/05,01,EVIS,30048E100,EVISION INTERNATIONAL INC,0,0000844780
015414,31/1/05,01,TECH,09073M104,BIO-TECHNE CORP,0,0000842023
015415,31/1/05,02,CGRTQ,216284208,COOKER RESTAURANT/OH,0,0000832412
015416,31/1/05,01,IAX,45885E203,INTL ABSORBENTS INC,0,0000813634
015417,31/1/05,01,BRO,115236101,BROWN & BROWN INC,0,0000079282
015418,31/1/05,01,3TISI,880332200,TENET INFORMATION SVCS INC,0,
015428,31/1/05,01,DGIX,267912103,DYNA GROUP INTERNATIONAL INC,0,0000844787
015442,31/1/05,01,PWRB,73932E109,POWERBRIEF INC,0,0000807144
015444,31/1/05,90,CRH.1,12626K203,CRH PLC,F,0000849395
015446,31/1/05,01,EMIS,291345106,EMISPHERE TECHNOLOGIES INC,0,0000805326
015448,31/1/05,03,CIN.PB,693627309,DUKE ENERGY INDIANA INC,1,0000081020
015453,31/1/05,01,HHHEF,88429G201,37 CAPITAL INC,0,0000825171
015457,31/1/05,01,XXAAU.,043287101,ALP LIQUIDATING TRUST,0,0000814046
015459,31/1/05,01,TG,894650100,TREDEGAR CORP,0,0000850429
015462,31/1/05,01,OIB,46133A100,INVESCO MUNI INCOME OPP II,7,0000847593
015464,31/1/05,01,NPP,67062P108,NUVEEN PERFORM PLUS MUNI,7,0000849998
015465,31/1/05,01,HCTL,M5296L135,HEALTHCARE TECHNOLOGIES LTD,0,
015466,31/1/05,01,HLXC,423276609,HELIONETICS,0,0000319648
015467,31/1/05,01,QSND,74728C307,QSOUND LABS INC,0,0000840518
015469,31/1/05,01,DGCT,253835201,DIGITAL COMMUNICATIONS TECH,0,0000743051
015470,31/1/05,01,SNRS.1,86769L103,SUNRISE TECHNOLOGY INTL INC,0,0000846771
015474,31/1/05,02,SYNX.1,87160C106,SYNERGX SYSTEMS INC,0,0000823130
015475,31/1/05,01,3PWSPE,738901107,POWER SPECTRA INC,0,0000777527
015476,31/1/05,01,WACC,95709H304,WESTAMERICA CORP,0,0000836044
015483,31/1/05,90,DSEEY,234064301,DAIWA SECURITIES GROUP INC,F,0001481045
015490,31/1/05,01,UBMSQ,90333F105,USA BIOMASS CORP,0,0000831002
015495,31/1/05,01,TEKCQ,878919208,TEKNOWLEDGE CORP,0,0000716214
015498,31/1/05,90,HSNGY,41043C304,HANG SENG BANK LTD,F,0000819953
015504,31/1/05,90,ABNYY,000937102,ABN-AMRO HOLDINGS NV,F,
015505,31/1/05,90,AIBYY,019228808,AIB GROUP PLC,F,0001728918
015508,31/1/05,90,NGLOY,03485P409,ANGLO AMERICAN PLC,F,0000801973
015509,31/1/05,90,HSBC,404280406,HSBC HLDGS PLC,F,0001089113
015515,31/1/05,90,BNSTY,059878207,BANCO ESP DE CREDITO,F,
015520,31/1/05,01,SIG,G81276100,SIGNET JEWELERS LTD,0,0000832988
015521,31/1/05,01,SPLS,855030102,STAPLES INC,0,0000791519
015530,31/1/05,90,BKEAY,061874103,BANK OF EAST ASIA LTD,F,0000899577
015532,31/1/05,90,BNPZY,05565A103,BNP PARIBAS,F,0000310732
015533,31/1/05,01,DDC.2,257287102,DOMINION DIAMOND CORP,0,0000841071
015537,31/1/05,90,HVMGY,072735103,BAYERISCHE HYPO- & VEREINSBK,F,0000925900
015538,31/1/05,90,DNHBY,23328E106,DNB ASA,F,
015545,31/1/05,01,AIVAF,G0683Q158,AVIVA PLC,0,0001140022
015549,31/1/05,01,UNCFF,T9T23L642,UNICREDIT SPA,0,0001715939
015552,31/1/05,91,DNKEY,236363206,DANSKE BANK AS,F,0000800177
015575,31/1/05,90,CRZBY,202597605,COMMERZBANK AG,F,0000852933
015576,31/1/05,01,DB,D18190898,DEUTSCHE BANK AG,0,0001159508
015579,31/1/05,90,BKJAY,066011206,CONCORDIA FINANCIAL GROUP,F,0001622143
015580,31/1/05,01,BMO,063671101,BANK OF MONTREAL,0,0000927971
015581,31/1/05,01,CM,136069101,CANADIAN IMPERIAL BANK,0,0001045520
015582,31/1/05,01,BNS,064149107,BANK OF NOVA SCOTIA,0,0000009631
015598,31/1/05,90,AEG,0076CA104,AEGON LTD,F,0000769218
015603,31/1/05,90,LGGNY,52463H103,LEGAL & GEN GROUP PLC,F,0000917243
015607,31/1/05,01C,PWF.,73927C100,POWER FINANCIAL CORP,0,0000817411
015613,31/1/05,91,NMR,65535H208,NOMURA HOLDINGS INC,F,0001163653
015616,31/1/05,90,NIKOY,654107200,NIKKO CORDIAL CORP,F,0000110082
015617,31/1/05,90,ING,456837103,ING GROEP NV,F,0001039765
015618,31/1/05,90,NDBKY,63975K104,NEDBANK GROUP LTD,F,0000930702
015620,31/1/05,01C,NA.,633067103,NATIONAL BANK CANADA,0,0000926171
015625,31/1/05,90,MITEY,606783207,MITSUBISHI ESTATE CO LTD,F,0001450204
015633,31/1/05,01,RY,780087102,ROYAL BANK OF CANADA,0,0001000275
015634,31/1/05,04,RBS.PM,780097796,NATWEST GROUP PLC,1,0000844150
015637,31/1/05,02C,BPP.PR.G,05565B200,BROOKFIELD CDA OFFICE PPTYS,1,0001537063
015644,31/1/05,01,SEGXF,G80277141,SEGRO PLC,0,
015645,31/1/05,01,SCBFF,G84228157,STANDARD CHARTERED PLC,0,0001754878
015654,31/1/05,01,SVNLF,W9112U104,SVENSKA HANDELSBANKEN,0,0001619488
015659,31/1/05,90,TKOMY,889094108,TOKIO MARINE HOLDINGS INC,F,0001169486
015664,31/1/05,02,RSAIF,G7705H157,RSA INSURANCE GROUP PLC,0,0001126313
015668,31/1/05,90,IX,686330101,ORIX CORP,F,0001070304
015677,31/1/05,01,MURGF,D55535104,MUNICH RE CO,0,0001437199
015679,31/1/05,91,UOVEY,911271302,UNITED OVERSEAS BANK LTD,F,0000867530
015697,31/1/05,91,HLDCY,425166303,HENDERSON LAND DEVELOPMT LTD,F,0000811250
015699,31/1/05,01,IVSXF,W5R777123,INVESTOR AB PUBL,0,0000889232
015703,31/1/05,01,KBCSF,B5337G162,KBC GROUP NV,0,0001411133
015704,31/1/05,01,TRI,884903808,THOMSON-REUTERS CORP,0,0001075124
015706,31/1/05,01,TD,891160509,TORONTO DOMINION BANK,0,0000947263
015708,31/1/05,01,AGN.2,018490102,ALLERGAN INC,0,0000850693
015709,31/1/05,01,PCL.2,729251108,PLUM CREEK TIMBER CO INC,0,0000849213
015711,31/1/05,01,WRTLQ,948774104,WEIRTON STEEL CORP,0,0000849979
015713,31/1/05,01,GFWQZ,69341H105,PLM EQUIP GROWTH FD V  -LP,0,0000857645
015724,31/1/05,90,AZSEY,018805101,ALLIANZ SE,F,0001796335
015743,31/1/05,90,DBSDY,23304Y100,DBS GROUP HOLDINGS LTD,F,0000882617
015752,31/1/05,01,DRAX.1,26150J101,DRAXIS HEALTH INC,0,0000845802
015758,31/1/05,01,FDNU,350841201,4-D NEUROIMAGING,0,0000729330
015761,31/1/05,01,SITM.1,831858204,SMITH CORONA CORP,0,0000851292
015779,31/1/05,90,MSADY,553491101,MS&AD INS GROUP HLDGS INC,F,0001142206
015782,31/1/05,02,PUK.PR,G7293H114,PRUDENTIAL PLC,1,0001116578
015784,31/1/05,90,SCGLY,83364L109,SOCIETE GENERALE GROUP,F,0000906433
015799,31/1/05,01,DCCN,255908501,DOCUCON INC,0,
015800,31/1/05,01,DHCC,25278S100,DIAMONDHEAD CASINO CORP,0,0000844887
015803,31/1/05,01,NVLNF,67001K202,NOVELION THERAPEUTICS INC,0,0000827809
015804,31/1/05,01,ARZGF,T05040109,ASSICURAZIONI GENERALI SPA,0,0001379235
015816,31/1/05,90,SHZUY,824882203,SHIZUOKA FINANCIAL GROUP INC,F,0001668700
015822,31/1/05,01,NWRZ,645526112,NEW HORIZONS WORLDWIDE INC,0,0000850414
015824,31/1/05,01,HGBL,42727E103,HERITAGE GLOBAL INC,0,0000849145
015846,31/1/05,90,BKNIY,066460304,BANKINTER SA,F,0000879356
015848,31/1/05,01,ALUHQ,019782101,ALLOU HEALTHCARE INC,0,0000846538
015854,31/1/05,01,REXLQ,761684109,REXHALL INDUSTRIES INC,0,0000850476
